			org1 (Host/Predator)						org2 (Symbiont/Parasite/Prey)												
																					
Observation type	Taxonomic interaction 	Interaction	Accession org1	Taxonomic level 1: org1	Taxonomic level 2: org1	Taxonomic level 3: org1	Genus org1	Species org1	Accession org2	Taxonomic level 1: org2	Taxonomic level 2: org2	Taxonomic level 3: org2	Genus org2	Species org2	Reference 	Link	Database	Interaction_ID	Ecological interaction	Habitat	Source
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Ciliophora	Codonella	NA	AY587738	Prokaryote	Cyanobacteria	Cyanophyceae	Synechococcus	NA	Foster et al. 2006 a	10.1111/j.1529-8817.2006.00185.x 	MicroEcoSystems	ID_521	photosymbiosis	Marine	Water samples
2	Prot - Bac	symb	NA	Eukaryote	Alveolata	Ciliophora	Codonella	NA	AY587732	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Foster et al. 2006 a	10.1111/j.1529-8817.2006.00185.x	MicroEcoSystems	ID_522	photosymbiosis	Marine	Open ocean
2	Prot - Bac	symb	NA	Eukaryote	Alveolata	Ciliophora	Codonella	NA	AY587733	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Foster et al. 2006 a	10.1111/j.1529-8817.2006.00185.x	MicroEcoSystems	ID_523	photosymbiosis	Marine	Open ocean
2	Prot - Bac	symb	NA	Eukaryote	Alveolata	Ciliophora	Codonella	NA	AY587737	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Foster et al. 2006 a	10.1111/j.1529-8817.2006.00185.x	MicroEcoSystems	ID_524	photosymbiosis	Marine	Open ocean
2	Prot - Bac	symb	NA	Eukaryote	Alveolata	Ciliophora	Codonella	NA	AY587738	Prokaryote	Cyanobacteria	Cyanophyceae	unknown_cyanophyte	unknown_cyanophyte	Foster et al. 2006 a	10.1111/j.1529-8817.2006.00185.x	MicroEcoSystems	ID_525	photosymbiosis	Marine	Open ocean
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196886	Prokaryote	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	Farnelid 2010	10.3354/ame01440	MicroEcoSystems	ID_63	nitrogen fixation	Marine	Open ocean
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196887	Prokaryote	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	Farnelid 2010	10.3354/ame01440	MicroEcoSystems	ID_64	nitrogen fixation	Marine	Open ocean
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196888	Prokaryote	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	Farnelid 2010	10.3354/ame01440	MicroEcoSystems	ID_65	nitrogen fixation	Marine	Open ocean
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196889	Prokaryote	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	Farnelid 2010	10.3354/ame01440	MicroEcoSystems	ID_66	nitrogen fixation	Marine	Open ocean
3	Prot - Bac	symb	NA	Eukaryote	Alveolata	Dinoflagellata	Ornithocercus	thumii	GU196961	Prokaryote	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	unidentified_bacteria	Farnelid 2010	10.3354/ame01440	MicroEcoSystems	ID_67	nitrogen fixation	Marine	Open ocean
